species,model,formula,step,K,AICc,Delta_AICc,ModelLik,AICcWt,LL,Cum.Wt,c_hat,p_value_SSE,p_value_Chisq,p_value_freemanTukey
MTOR,shift,~alt:treeheight + canopy ~ alt ~ alt ~ day + time + rain + wind + activity + location,g_e,18,3808.65421706455,0,1,0.621402977251268,-1881.22263092033,0.621402977251268,1,0.962,0.993,0.973
MTOR,year_num_shift,~alt:treeheight + canopy ~ year_num + alt ~ year_num + alt ~ day + time + rain + wind + activity + location,g_e,20,3810.96439401567,2.31017695112269,0.315029663244068,0.195760370662328,-1879.0206585463,0.817163347913596,1,0.962,0.993,0.973
MTOR,expansion,~alt:treeheight + canopy ~ alt ~ 1 ~ day + time + rain + wind + activity + location,g_e,17,3812.44308326947,3.78886620491903,0.150403574299506,0.0934612288589457,-1884.72154163473,0.910624576772542,1,0.962,0.993,0.973
MTOR,year_num_expansion,~alt:treeheight + canopy ~ year_num + alt ~ year_num ~ day + time + rain + wind + activity + location,g_e,19,3813.27832144664,4.62410438208735,0.0990577573840909,0.0615547853583079,-1881.88158496574,0.97217936213085,1,0.962,0.993,0.973
MTOR,contraction,~alt:treeheight + canopy ~ 1 ~ alt ~ day + time + rain + wind + activity + location,g_e,17,3815.69097731646,7.03676025191408,0.0296474213799235,0.0184229959133074,-1886.34548865823,0.990602358044157,1,0.962,0.993,0.973
MTOR,year_num_contraction,~alt:treeheight + canopy ~ year_num ~ year_num + alt ~ day + time + rain + wind + activity + location,g_e,19,3817.04061814349,8.38640107894116,0.0150978860829114,0.00938187136212165,-1883.76273331417,0.999984229406279,1,0.962,0.993,0.973
MTOR,constant,~alt:treeheight + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,g_e,16,3830.53402091908,21.8798038545256,1.77362156424713e-05,1.10213372054022e-05,-1895.32498147403,0.999995250743484,1,0.962,0.993,0.973
MTOR,year_num,~alt:treeheight + canopy ~ year_num ~ year_num ~ day + time + rain + wind + activity + location,g_e,18,3832.21771103325,23.5634939687016,7.64279652581561e-06,4.74925651566747e-06,-1893.00437790469,1,1,0.962,0.993,0.973
MTOR,year_fact_expansion,~alt:treeheight + canopy ~ year_fact + alt ~ year_fact ~ day + time + rain + wind + activity + location,g_e,41,3898.21004790713,89.5558308425825,3.57436107033825e-20,2.22111861087922e-20,-1868.9686603172,1,1,0.962,0.993,0.973
MTOR,year_fact_shift,~alt:treeheight + canopy ~ year_fact + alt ~ year_fact + alt ~ day + time + rain + wind + activity + location,g_e,42,3899.73754848913,91.0833314245847,1.66535139229484e-20,1.03485431334156e-20,-1865.86877424457,1,1,0.962,0.993,0.973
MTOR,year_fact_contraction,~alt:treeheight + canopy ~ year_fact ~ year_fact + alt ~ day + time + rain + wind + activity + location,g_e,41,3904.17257144388,95.5183543793287,1.81322995997969e-21,1.12674649557258e-21,-1871.94992208558,1,1,0.962,0.993,0.973
MTOR,year_fact,~alt:treeheight + canopy ~ year_fact ~ year_fact ~ day + time + rain + wind + activity + location,g_e,40,3911.9565401943,103.302323129753,3.69986219361103e-23,2.2991053825293e-23,-1879.53382565271,1,1,0.962,0.993,0.973
MTOR,nullmodel,~1 ~ 1 ~ 1 ~ 1,g_e,4,4173.43343529004,364.779218225491,6.15459111934004e-80,3.82448124532212e-80,-2082.46980406477,1,1,0.962,0.993,0.973
MTOR,,~alt:treeheight + canopy ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity + location,psi,16,3853.49566292311,0,1,0.416534307292849,-1906.80580247605,0.416534307292849,1,0.962,0.993,0.973
MTOR,,~alt:treeheight ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity + location,psi,15,3855.00226358788,1.50660066477622,0.470810155834219,0.196108582126845,-1909.07256036537,0.612642889419695,1,0.962,0.993,0.973
MTOR,,~alt:treeheight + dbh + canopy ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity + location,psi,17,3856.55346265505,3.05779973194194,0.216774016656191,0.090293814866975,-1906.77673132752,0.70293670428667,1,0.962,0.993,0.973
MTOR,,~canopy ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity + location,psi,15,3857.28039861211,3.78473568900699,0.150714517456335,0.0627777671276504,-1910.21162787749,0.76571447141432,1,0.962,0.993,0.973
MTOR,,~1 ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity + location,psi,14,3857.74721806971,4.25155514660128,0.119340136475818,0.0497092610791889,-1911.91586255598,0.815423732493509,1,0.962,0.993,0.973
MTOR,,~alt:treeheight + dbh ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity + location,psi,16,3858.01816075656,4.52249783345496,0.104220241037542,0.0434113059064663,-1909.06705139277,0.858835038399975,1,0.962,0.993,0.973
MTOR,,~alt ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity + location,psi,15,3858.68027911337,5.18461619026175,0.0748470863696839,0.0311763792738843,-1910.91156812811,0.89001141767386,1,0.962,0.993,0.973
MTOR,,~alt + canopy ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity + location,psi,16,3859.53352364541,6.03786072230014,0.0488534459684558,0.0203491362753394,-1909.8247328372,0.910360553949199,1,0.962,0.993,0.973
MTOR,,~treeheight ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity + location,psi,15,3860.09607050321,6.60040758010246,0.0368756517444999,0.0153599740553676,-1911.61946382303,0.925720528004567,1,0.962,0.993,0.973
MTOR,,~treeheight + canopy ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity + location,psi,16,3860.12828035134,6.6326174282317,0.0362865287967671,0.0151145841364234,-1910.12211119016,0.94083511214099,1,0.962,0.993,0.973
MTOR,,~dbh + canopy ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity + location,psi,16,3860.30290566595,6.8072427428433,0.0332526315243779,0.0138508618376711,-1910.20942384747,0.954685973978661,1,0.962,0.993,0.973
MTOR,,~dbh ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity + location,psi,15,3860.5596843429,7.06402141978833,0.0292460513822923,0.0121819837535742,-1911.85127074288,0.966867957732235,1,0.962,0.993,0.973
MTOR,,~alt + treeheight ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity + location,psi,16,3861.52210278285,8.02643985974009,0.0180751008780723,0.0075288996234962,-1910.81902240592,0.974396857355731,1,0.962,0.993,0.973
MTOR,,~alt + dbh ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity + location,psi,16,3861.54762411064,8.05196118752883,0.0178459159765856,0.00743343624931347,-1910.83178306981,0.981830293605045,1,0.962,0.993,0.973
MTOR,,~alt + treeheight + canopy ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity + location,psi,17,3862.60935018606,9.11368726294859,0.0104951332268445,0.00437158304858985,-1909.80467509303,0.986201876653635,1,0.962,0.993,0.973
MTOR,,~alt + dbh + canopy ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity + location,psi,17,3862.64902565183,9.15336272872128,0.0102889850935939,0.00428571527870659,-1909.82451282591,0.990487591932341,1,0.962,0.993,0.973
MTOR,,~treeheight + dbh + canopy ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity + location,psi,17,3863.03803486018,9.5423719370724,0.00847032865746951,0.00352818247988184,-1910.01901743009,0.994015774412223,1,0.962,0.993,0.973
MTOR,,~treeheight + dbh ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity + location,psi,16,3863.0629410818,9.56727815868908,0.00836550078737777,0.00348451807562819,-1911.58944155539,0.997500292487851,1,0.962,0.993,0.973
MTOR,,~alt + treeheight + dbh ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity + location,psi,17,3864.61482761884,11.1191646957363,0.00385038418300206,0.00160381710847811,-1910.80741380942,0.99910410959633,1,0.962,0.993,0.973
MTOR,,~alt + treeheight + dbh + canopy ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity + location,psi,18,3865.77947496208,12.2838120389724,0.00215082020372618,0.00089589040367055,-1909.7852598691,1,1,0.962,0.993,0.973
MTOR,,~1 ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity + location,p,14,3857.74721806971,0,1,0.997989165770285,-1911.91586255598,0.997989165770285,1,0.962,0.993,0.973
MTOR,,~1 ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity,p,11,3870.16160355908,12.4143854893714,0.00201488583111355,0.00201083422971538,-1922.29701799576,1,1,0.962,0.993,0.973
MTOR,,~1 ~ 1 ~ 1 ~ day + I(time^2) + rain + wind,p,10,4147.54314683647,289.795928766766,1.17927102864363e-63,1.17689971009312e-63,-2062.30490675157,1,1,0.962,0.993,0.973
MTOR,,~1 ~ 1 ~ 1 ~ day,p,5,4166.22623889764,308.47902082793,1.03426477982422e-67,1.03218504480236e-67,-2077.73811944882,1,1,0.962,0.993,0.973
MTOR,,~1 ~ 1 ~ 1 ~ day + I(time^2),p,6,4167.94271057047,310.195492500758,4.38434426084957e-68,4.375528071335e-68,-2077.43970971561,1,1,0.962,0.993,0.973
MTOR,,~1 ~ 1 ~ 1 ~ day + time,p,6,4168.34167186168,310.594453791968,3.59146223585815e-68,3.58424040065955e-68,-2077.63919036122,1,1,0.962,0.993,0.973
MTOR,,~1 ~ 1 ~ 1 ~ day + I(time^2) + rain,p,7,4168.54972556568,310.802507495972,3.23662971053287e-68,3.23012138472202e-68,-2076.55691406489,1,1,0.962,0.993,0.973
MTOR,,~1 ~ 1 ~ 1 ~ 1,p,4,4173.43343529004,315.686217220333,2.81584616084786e-69,2.81018396100201e-69,-2082.46980406477,1,1,0.962,0.993,0.973
